10 th St & 10th St Ct,4170
10th St & 12th Ave,5223
10th St & 14th Ave,4131
10th St & 17th Ave,4140
10th St & 20th Ave,4160
10th St & 22nd Ave,4180
10th St & 23rd Ave,4190
10th St & 25th Ave,4210
10th St & North Boston Way,4200
10th St & South Boston Way,4230
10th St &10th St Place,4171
12th Ave & 10th St,5220
12th Ave & 7th St,4101
12th Ave & Holiday Rd,5201
12th Ave & Liberty Ln,346
12th Ave & Ozark Ridge,5210
12th Ave & South Ridge Dr,343
12th Avenue & Liberty Ln East,345
12th Avenue & North Ridge Dr,340
12th Avenue & Oakdale Blvd,3036
14th Ave & 10th St,4130
14th Ave & 8th St,4111
14th Ave & 9th St,4120
1st Ave @ Hy Vee,7228
1st Ave @ South East Junior High,7601
1st Ave & 5th St,4030
1st Ave & Highway 6,385
1st Ave & Stuart Court,9001
20th Ave & 5th St,4300
20th Ave & 8th St,4290
20th Ave & 9th St,4281
22nd Ave & 10th St,4182
22nd Ave & 10th St Place,4265
23rd Ave & 9th St,4240
3rd Ave & Friendship St,7231
4th Ave & 5th St,4371
4th Ave & Highway 6,4021
4th Ave. & 6th St,4055
5th St & 12th Ave - Library,4331
5th St & 12th Ave - West Music,4330
5th St & 18th Ave - Coral Village,4310
5th St & 3rd Ave,4380
5th St & 4th Ave,4370
5th St & 7th St - City Hall,4320
5th St & 8th Ave,4361
6th St & 1st Ave,4041
6th St & 1st Ave - Scotch Pine,4040
6th St & 4th Ave,4050
6th St & 4th Ave - Scotsdale,4051
7th Ave & Court St,7235
7th Ave & F St,7221
7th St & 10th Ave,4090
7th St & 12th Ave,4100
7th St & 4th Ave Place,4060
7th St & 6th Ave,4070
7th St & 7th Ave,4080
815 Oakcrest St,8119
8th St & 12th Ave,4105
8th St & 14th Ave,4110
8th St & 20th Ave,4291
900 North Dodge St,7532
919 North Dodge St,7531
945 Oakcrest St,8117
9th St & 20th Ave,4280
9th St & 20th Ave Place,4270
9th St & 21st Ave,4260
9th St & Oakleaf St,4250
9th St & Ponseti Way,5025
ACT,7130
ACT #1,7513
ACT #2,7514
ACT #3,7515
ALPLA,7133
American Legion Rd & Scott Blvd,7605
Amhurst St @ Lemme Elementary,7430
Amhurst St & Hastings Ave,7429
Amhurst St & Lower West Branch Rd,7427
Amhurst St & Oberlin St,7431
Amhurst St & Tulane Ave,7428
Amhurst St & Washington St,7432
Arena East,2020
Arena on Hawkins,2017
Arena West,2022
Arlington Dr & American Legion Rd,7604
Arlington Dr & Canterbury Court,7603
Arlington Dr & Chandler Ct,8351
Arlington Dr & Court St,7331
Arlington Dr & Cumberland Ln,7332
Art Building,2101
Art Building West,2100
Ashford Place & Chadwick Place,7337
Ashford Place & York Place,7338
Aspire,3106
Bartelt Rd & Morman Trek Blvd,8227
Benton St - Horn Elementary,8236
Benton St @ Seville Apartments,8122
Benton St & Capitol St,7072
Benton St & Clinton St,7071
Benton St & George St,8124
Benton St & Giblin Dr,8007
Benton St & Hudson Ave,8008
Benton St & Jema Court,8291
Benton St & Keswick Dr,8233
Benton St & Oaknoll Dr,8123
Benton St & Riverside Dr,8005
Benton St & Spencer Dr,8232
Benton St & Streb St,8125
Benton St & Sunset St,8246
Benton St & Westgate St,8234
BioVenture East,3017
BioVenture West,3016
Bloomington St & Gilbert St,7445
Bon Aire Mobile Home Lodge,7700
Bowery St & Dodge St,7104
Bowery St & Johnson St,7102
Bowery St & Van Buren St,7101
Boyrum St @ Hy Vee,7017
Boyrum St & Southgate Ave,7019
Brentwood & Camden St,7340
Broadway St 1900 Block,7036
Bulington St & Gilbert St - City Hall/Rec. Center,7243
Burge Hall,1016
Burlington St & Dubuque St,7244
Burlington St & Johnson St,7241
Burlington St & Lucas St,7245
Burlington St & Muscatine Ave,7249
Burlington St & Summit St,7247
Burns Ave & California Ave,7059
Burns Ave & Taylor Dr,7060
California Ave & Grantwood St,7057
California Ave & Sycamore St,7058
California Ave & Union Ave,7056
Camden Rd & Ashford Place,7341
Capitol St & Benton St,827
Capitol St & Harrison St,7076
Capitol St & Prentiss St,825
Caroline Ave & Prairie du Chien Rd,7527
Carver Hawkeye Arena,2041
Carver Special,2042
Chatam Oaks Residential Facility,8306
Church St & Dubuque St,7449
Church St & Linn St,7448
Church St North,1010
Church St South,1011
City High School,7602
City High School PM,7519
Clapp St & Hotz Ave,7405
Clapp St & Rochester Ave,7406
Clinton & College,1034
Clinton & Iowa,1030
Clinton & Prentiss,1040
Clinton St & Jefferson St,7207
Clinton St & Washington St @ AIRLINER,9200
Coll Dr & Coll Court,8332
College and Gilbert,7204
College St & 7th Ave - City High School,7238
College St & Dodge St,7209
College St & Fairview St,7239
College St & Gilbert St,7203
College St & Governor St,7213
College St & Muscatine Ave,7240
College St & Summit St,7211
Colonial Lns,8021
Commerce Dr & Commercial Park,5060
Commerce Dr & Liberty Dr,7128
Commercial Park & Heartland Dr,5070
Communications Center,1051
Coral Ridge Mall,4220
Court St & 1st Ave,7311
Court St & 2nd Ave,7308
Court St & 4th Ave - City High School,7307
Court St & 7th Ave,7236
Court St & Camden Rd,7330
Court St & Capitol St,7077
Court St & Dartmouth St,7317
Court St & Dubuque St,7002
Court St & Elmira St,7328
Court St & Friendship Ave,7318
Court St & Gilbert St,7005
Court St & Kenneth Dr,7329
Court St & Lindeman Dr,7343
Court St & Linden Court,7315
Court St & Madison St,7078
Court St & Maiden Ln,7006
Court St & Morningside Dr,7303
Court St & Muscatine Ave,7301
Court St & Peterson,8354
Court St & Peterson St,7327
Court St & Terrace Rd,7314
Court St & Upland Ave,7312
Court St & Westminster St,7316
Court St Transportation Center,7004
Crosspark Ave & Broadway St,7035
Crosspark Ave 900 Block,7034
Currier Hall,1015
D St & 3rd Ave,7229
Deerfield Dr & Duck Creek Dr,8337
Denbigh & Derwin,8237
Denbigh Dr & Hafor Dr,8238
Denbigh Dr & Penkridge Dr,8239
Denbigh Dr & Sunset St,8240
Dental College,246
Dental on Elliott,2040
Dodge St - 500 block,7460
Dodge St & Bowery St,7105
Dodge St & Burlington St,7458
Dodge St & College St,7210
Dodge St & Court St,7459
Dodge St & Walnut St,7106
Downtown Interchange,1
Dubuque St & Bloomington St,7452
Dubuque St & Church St,7093
Dubuque St & Davenport St,7092
Dubuque St & Fairchild St,7450
Dubuque St & Market St,7091
Dubuque St & Park Rd,8073
Duck Creek Dr & Partridge Court,8338
Duck Creek Dr & Wild Prairie Dr,8339
East Lot Temporary Stop South,3001
Eastdale Plaza,7124
Elliot St @ Carver Hawkeye Arena,241
ERF,1060
F St & 6th Ave,7222
F St & Muscatine Ave,7223
Fairview Ln & Andrews Ct,5861
Fairview Ln & Augusta Circle,5860
Family Care,2070
Finkbine Entrance,2025
Finkbine North,2030
Finkbine South,2031
Forest View Trailer Park,8082
Foster Rd & Algonquin Rd,8085
Foster Rd & Dubuque St,8078
